Date,Open,High,Low,close_x,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,value,classification
2024-08-24,5.93,6.194,5.852,6.049,3720365.96,22422652.83949,229350.0,1772424.09,10685287.64109,3720365.96,-175517.7799999998,6.048,52.073732718894014,2.872366268806581,314.131,56.0,Greed
2024-08-25,6.049,6.052,5.651,5.696,3872145.9,22384832.72892,211053.0,1723628.75,9968140.18734,3872145.9,-424888.3999999999,5.694,57.6530612244898,2.872366268806581,314.131,54.0,Greed
2024-08-26,5.696,5.789,5.411,5.411,3698811.68,20658287.72765,244046.0,1699953.19,9502340.26811,3698811.68,-298905.3000000003,5.412,43.09764309764309,2.872366268806581,314.131,55.0,Greed
2024-08-27,5.411,5.581,4.902,5.013,5302191.31,27673328.48238,298212.0,2572418.18,13430402.49067,5302191.31,-157354.94999999925,5.013,32.27354529094181,2.872366268806581,314.131,48.0,Fear
2024-08-28,5.012,5.144,4.614,4.774,5541286.22,27102827.1958,335716.0,2718820.07,13304586.74911,5541286.22,-103646.08000000007,4.778,35.22094926350246,2.872366268806581,314.131,30.0,Fear
2024-08-29,4.775,4.96,4.553,4.606,3886394.89,18526463.18408,236150.0,1930945.0,9225773.88458,3886394.89,-24504.89000000013,4.607,36.773752563226246,2.872366268806581,314.131,29.0,Fear
2024-08-30,4.604,4.711,4.224,4.513,5119551.64,22919888.88243,219919.0,2493426.43,11169254.91964,5119551.64,-132698.77999999933,4.513,38.566308243727605,2.872366268806581,314.131,34.0,Fear
2024-08-31,4.513,4.624,4.366,4.487,1780428.91,8042433.04009,59582.0,857418.26,3872892.65345,1780428.91,-65592.3899999999,4.487,38.55249014690075,2.872366268806581,314.131,29.0,Fear
2024-09-01,4.488,4.521,4.168,4.233,2388439.45,10466417.72436,80363.0,1112371.89,4875733.61964,2388439.45,-163695.6700000004,4.234,36.95054945054945,2.872366268806581,314.851,26.0,Fear
2024-09-02,4.232,4.547,4.203,4.474,2820303.37,12397884.44276,94604.0,1406419.93,6190829.54068,2820303.37,-7463.510000000242,4.474,41.32310642377756,2.872366268806581,314.851,26.0,Fear
