date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,inflation rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply
2024-03-01,0.0,1.591029296517717,2.8944335541780556e-13,2.8944335541780556e-13,2.8944335541780556e-13,2.8944335541780556e-13,2.8944335541780556e-13,1.591029296517717,80.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-02,0.0,50.28836040137026,2.936529100285079e-13,2.936529100285079e-13,2.936529100285079e-13,2.936529100285079e-13,2.936529100285079e-13,50.28836040137026,80.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-03,0.0,437.36459151386646,2.964591941570109e-13,2.964591941570109e-13,2.964591941570109e-13,2.964591941570109e-13,2.964591941570109e-13,437.36459151386646,83.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-04,0.0,126.41123156465596,3.050561748643546e-13,3.050561748643546e-13,3.050561748643546e-13,3.050561748643546e-13,3.050561748643546e-13,126.41123156465596,82.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-05,0.0,718.7799465176711,3.564365924462797e-13,3.564365924462797e-13,3.564365924462797e-13,3.564365924462797e-13,3.564365924462797e-13,718.7799465176711,90.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-06,0.0,94.11614391520392,3.3213850157859825e-13,3.3213850157859825e-13,3.3213850157859825e-13,3.3213850157859825e-13,3.3213850157859825e-13,94.11614391520392,75.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-07,0.0,236.6022477646815,3.7181135964750713e-13,3.7181135964750713e-13,3.7181135964750713e-13,3.7181135964750713e-13,3.7181135964750713e-13,236.6022477646815,82.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-08,0.0,209.6234723356271,4.1158838366257984e-13,4.1158838366257984e-13,4.1158838366257984e-13,4.1158838366257984e-13,4.1158838366257984e-13,209.6234723356271,81.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-09,0.0,396.91380987009086,4.4365841002003835e-13,4.4365841002003835e-13,4.4365841002003835e-13,4.4365841002003835e-13,4.4365841002003835e-13,396.91380987009086,84.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-10,0.0,424.7601931527762,4.869713408151139e-13,4.869713408151139e-13,4.869713408151139e-13,4.869713408151139e-13,4.869713408151139e-13,424.7601931527762,79.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-11,0.0,273.2941405082125,5.343617080300838e-13,5.343617080300838e-13,5.343617080300838e-13,5.343617080300838e-13,5.343617080300838e-13,273.2941405082125,82.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-12,0.0,476.4204110381737,5.431539255286248e-13,5.431539255286248e-13,5.431539255286248e-13,5.431539255286248e-13,5.431539255286248e-13,476.4204110381737,81.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-13,0.0,901.9184464437377,5.080229590403187e-13,5.080229590403187e-13,5.080229590403187e-13,5.080229590403187e-13,5.080229590403187e-13,901.9184464437377,81.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-14,0.0,146.97474880720733,5.978385158123179e-13,5.978385158123179e-13,5.978385158123179e-13,5.978385158123179e-13,5.978385158123179e-13,146.97474880720733,88.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-15,0.0,126.32693731687951,5.919472240808615e-13,5.919472240808615e-13,5.919472240808615e-13,5.919472240808615e-13,5.919472240808615e-13,126.32693731687951,83.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-16,0.0,53.5004989354615,6.103266969055285e-13,6.103266969055285e-13,6.103266969055285e-13,6.103266969055285e-13,6.103266969055285e-13,53.5004989354615,81.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-17,0.0,267.95180095199066,5.621416378927007e-13,5.621416378927007e-13,5.621416378927007e-13,5.621416378927007e-13,5.621416378927007e-13,267.95180095199066,79.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-18,0.0,23.15646605226293,5.576059960700372e-13,5.576059960700372e-13,5.576059960700372e-13,5.576059960700372e-13,5.576059960700372e-13,23.15646605226293,77.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-19,0.0,35.49989512410604,5.444885992294545e-13,5.444885992294545e-13,5.444885992294545e-13,5.444885992294545e-13,5.444885992294545e-13,35.49989512410604,79.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-20,0.0,908.7504947840846,4.164371511253488e-13,4.164371511253488e-13,4.164371511253488e-13,4.164371511253488e-13,4.164371511253488e-13,908.7504947840846,74.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-21,0.0,116.09250208207537,4.658573820390798e-13,4.658573820390798e-13,4.658573820390798e-13,4.658573820390798e-13,4.658573820390798e-13,116.09250208207537,78.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-22,0.0,36.342801577742414,4.665568616868616e-13,4.665568616868616e-13,4.665568616868616e-13,4.665568616868616e-13,4.665568616868616e-13,36.342801577742414,75.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-23,0.0,72.77568001638912,4.604873792060979e-13,4.604873792060979e-13,4.604873792060979e-13,4.604873792060979e-13,4.604873792060979e-13,72.77568001638912,73.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-24,0.0,2.4987238635582667,4.648337277927965e-13,4.648337277927965e-13,4.648337277927965e-13,4.648337277927965e-13,4.648337277927965e-13,2.4987238635582667,74.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-25,0.0,335.09424347438335,4.4900034810706634e-13,4.4900034810706634e-13,4.4900034810706634e-13,4.4900034810706634e-13,4.4900034810706634e-13,335.09424347438335,75.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-03-26,0.0,15.566448032496215,4.635486022336977e-13,4.635486022336977e-13,4.635486022336977e-13,4.635486022336977e-13,4.635486022336977e-13,15.566448032496215,81.0,Extreme Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
